Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
sfp,0.0,0.0,8,0.2,-78630,-212667,-120384.68,23454.466366740715
sfp,0.0,0.0,8,0.3,-69783,-214628,-120377.52,25224.12756950077
sfp,0.0,0.0,8,0.4,-54405,-186599,-104620.4,30284.75905029944
sfp,0.0,0.0,8,0.5,-51460,-185935,-106376.16,29964.186763916307
sfp,0.0,0.0,8,0.6,-64181,-174608,-110817.76,25233.592684712163
sfp,0.0,0.0,8,0.7,-72745,-190523,-120487.14,25803.951953306907
sfp,0.0,0.0,8,0.8,-97289,-178637,-134219.66,20740.045185838248
sfp,0.0,0.0,8,0.9,-95818,-200117,-146511.92,22567.65650112242
sfp,0.0,0.0,8,1.0,-103432,-210597,-139784.28,20984.83300497125
sfp,0.0,0.0,9,0.0,-96719,-160140,-128204.54,17105.818379040935
sfp,0.0,0.0,9,0.1,-96284,-199195,-139292.02,22203.59611845407
sfp,0.0,0.0,9,0.2,-90429,-174450,-135118.3,21450.70827073844
sfp,0.0,0.0,9,0.3,-83764,-197918,-125618.2,26827.37468805066
sfp,0.0,0.0,9,0.4,-50821,-168382,-115330.24,30638.415577912936
sfp,0.0,0.0,9,0.5,-69216,-171823,-117255.56,24594.431821426075
sfp,0.0,0.0,9,0.6,-45816,-206850,-106799.36,34486.28385182392
sfp,0.0,0.0,9,0.7,-65773,-233859,-120761.92,29347.67403003279
sfp,0.0,0.0,9,0.8,-95902,-211150,-143557.54,22766.828751416535
sfp,0.0,0.0,9,0.9,-101066,-222991,-154607.26,23359.948069911876
sfp,0.0,0.0,9,1.0,-90671,-191573,-140042.24,22703.32707485304
sfp,0.0,0.0,10,0.0,-82449,-183411,-136470.64,18059.166200789976
sfp,0.0,0.0,10,0.1,-101225,-194246,-137774.46,19998.1074698562
sfp,0.0,0.0,10,0.2,-84133,-194205,-137171.38,22694.232510944632
sfp,0.0,0.0,10,0.3,-68451,-192134,-132134.8,30366.197405291674
sfp,0.0,0.0,10,0.4,-52055,-176231,-115412.72,28962.683219393515
sfp,0.0,0.0,10,0.5,-52971,-202664,-119877.78,36002.62287967251
sfp,0.0,0.0,10,0.6,-55202,-209285,-112599.02,34119.177410407436
sfp,0.0,0.0,10,0.7,-61597,-192369,-123659.42,26343.83210939052
sfp,0.0,0.0,10,0.8,-101344,-193546,-144953.02,23091.70177613506
sfp,0.0,0.0,10,0.9,-94986,-218728,-152140.44,26285.563921278004
sfp,0.0,0.0,10,1.0,-107384,-201162,-144396.72,21425.76593257639
sfp,0.0,0.0,11,0.0,-94322,-194630,-140426.28,21632.573491824398
sfp,0.0,0.0,11,0.1,-109607,-195023,-147338.58,23168.30716873587
sfp,0.0,0.0,11,0.2,-75236,-190206,-142708.2,23446.096847615278
sfp,0.0,0.0,11,0.3,-79156,-172944,-127379.28,23745.449982233975
sfp,0.0,0.0,11,0.4,-52606,-188719,-119156.72,30747.467900419815
sfp,0.0,0.0,11,0.5,-58284,-204261,-113848.14,34165.61105282113
sfp,0.0,0.0,11,0.6,-61278,-187466,-121493.7,27427.184404104166
sfp,0.0,0.0,11,0.7,-67191,-195919,-129413.84,28305.89399383464
sfp,0.0,0.0,11,0.8,-94521,-207427,-147059.94,24613.26091342317
sfp,0.0,0.0,11,0.9,-109077,-197426,-151959.08,19216.682810474013
sfp,0.0,0.0,11,1.0,-112904,-195173,-150059.46,18673.56844903556
sfp,0.0,0.0,12,0.0,-100337,-187138,-145992.16,20804.63224651311
sfp,0.0,0.0,12,0.1,-102436,-191779,-148358.78,20849.911970929523
sfp,0.0,0.0,12,0.2,-108006,-196330,-144189.64,20179.91912036542
sfp,0.0,0.0,12,0.3,-76935,-198667,-127879.74,29048.27237253499
sfp,0.0,0.0,12,0.4,-63721,-177788,-121587,29710.832015634038
sfp,0.0,0.0,12,0.5,-54992,-209729,-119601.84,36744.18130715476
sfp,0.0,0.0,12,0.6,-66463,-189510,-119132.48,29210.077064113142
sfp,0.0,0.0,12,0.7,-76889,-181769,-128491.26,24435.657050761885
sfp,0.0,0.0,12,0.8,-101905,-201571,-144290.58,20570.514869678722
sfp,0.0,0.0,12,0.9,-116128,-207236,-155212.68,21121.6624301658
sfp,0.0,0.0,12,1.0,-113063,-200845,-159797.84,20694.694013210443
sfp,0.0,0.0,13,0.0,-111559,-207399,-155140.88,22182.73768610656
sfp,0.0,0.0,13,0.1,-107053,-197407,-152678,18930.863054810787
sfp,0.0,0.0,13,0.2,-104438,-216975,-149208.94,22770.86285944548
sfp,0.0,0.0,13,0.3,-83870,-191673,-132907.22,23846.803798404344
sfp,0.0,0.0,13,0.4,-67100,-193108,-123552.94,32200.626948776724
sfp,0.0,0.0,13,0.5,-58098,-199056,-111472.6,30687.247979762353
sfp,0.0,0.0,13,0.6,-59113,-212503,-124458.88,31867.1372699404
sfp,0.0,0.0,13,0.7,-64313,-213529,-127145.94,29718.646438543994
sfp,0.0,0.0,13,0.8,-110343,-251756,-155163.24,27970.134167160864
sfp,0.0,0.0,13,0.9,-115760,-206081,-162317,20192.484202933385
sfp,0.0,0.0,13,1.0,-122049,-194876,-159925.32,18315.453841106813
sfp,0.0,0.0,14,0.0,-120591,-201233,-163008.96,20695.395335194735
sfp,0.0,0.0,14,0.1,-118183,-205611,-158935.38,22252.1808184992
sfp,0.0,0.0,14,0.2,-96588,-215643,-157123.86,23995.918942994776
sfp,0.0,0.0,14,0.3,-71038,-205379,-135354.7,29231.714057593304
sfp,0.0,0.0,14,0.4,-71121,-195961,-131979.26,27592.34924114484
sfp,0.0,0.0,14,0.5,-57403,-202417,-122319.26,30507.56677486517
sfp,0.0,0.0,14,0.6,-73428,-223752,-131912.06,33636.32784223944
sfp,0.0,0.0,14,0.7,-66999,-217179,-137964.74,28266.605312095682
sfp,0.0,0.0,14,0.8,-114648,-222162,-151915.16,22840.482584844205
sfp,0.0,0.0,14,0.9,-121303,-203671,-163748.94,20042.148607178944
sfp,0.0,0.0,14,1.0,-119908,-233873,-166723.78,24578.512455851534
sfp,0.0,0.0,15,0.0,-124080,-204900,-169593.84,19762.504526439734
sfp,0.0,0.0,15,0.1,-136599,-235742,-172702.04,18261.61300066679
sfp,0.0,0.0,15,0.2,-115762,-196157,-154449.16,19666.33081094982
sfp,0.0,0.0,15,0.3,-90204,-229200,-141323.92,29685.54667754141
sfp,0.0,0.0,15,0.4,-57599,-194933,-134517.32,29213.640549942153
