function_id,min_time_sec,max_time_sec,mean_time_sec,median_time_sec,std_time_sec
1,0.2738676071166992,0.2935049533843994,0.28169807195663454,0.2808420658111572,0.00533215372786294
2,0.3172917366027832,0.34456849098205566,0.3275140166282654,0.3271057605743408,0.007646801615057908
3,0.36847758293151855,0.3796873092651367,0.37379769086837766,0.3730355501174927,0.0038664936289049046
4,0.32964348793029785,0.33747363090515137,0.33423011302947997,0.33463120460510254,0.0021151700570010154
5,0.3137640953063965,0.3279988765716553,0.3167498826980591,0.31619513034820557,0.002928820290056971
6,0.39163684844970703,0.42615652084350586,0.39782235622406004,0.39439964294433594,0.008300359254241291
7,0.5607192516326904,0.5677530765533447,0.5637705326080322,0.563872218132019,0.0020380576992549463
8,0.39525485038757324,0.4174063205718994,0.39856753349304197,0.39725589752197266,0.004757104966923211
9,0.4725809097290039,0.4933462142944336,0.474668550491333,0.47344720363616943,0.004366693458968981
10,0.5660066604614258,0.5833644866943359,0.5713556289672852,0.5704395771026611,0.004533475887326203
