Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
ksp,0.0,0.0,9,0.3,115,72,93.94,9.013391397792283
ksp,0.0,0.0,9,0.4,114,71,94.78,10.966163171040158
ksp,0.0,0.0,9,0.5,113,58,87.98,12.776716706412426
ksp,0.0,0.0,9,0.6,111,-17,77.26,27.31285859989685
ksp,0.0,0.0,9,0.7,118,58,85.82,11.350968672140645
ksp,0.0,0.0,9,0.8,114,-8,74.42,28.963094039251583
ksp,0.0,0.0,9,0.9,105,-5,79.44,20.869037704069576
ksp,0.0,0.0,9,1.0,110,-7,76.74,26.671707856828366
ksp,0.0,0.0,10,0.0,118,68,93.98,11.260351246923056
ksp,0.0,0.0,10,0.1,118,-2,89.02,19.196608969252026
ksp,0.0,0.0,10,0.2,119,77,96.7,9.09642226148191
ksp,0.0,0.0,10,0.3,114,61,93.46,11.791055066949554
ksp,0.0,0.0,10,0.4,118,-4,90.24,18.68160723759045
ksp,0.0,0.0,10,0.5,113,-2,85.82,17.98036343870043
ksp,0.0,0.0,10,0.6,111,-8,72.38,31.5755588765638
ksp,0.0,0.0,10,0.7,116,-11,73.1,30.405591591021544
ksp,0.0,0.0,10,0.8,110,-7,77.12,24.502094870872256
ksp,0.0,0.0,10,0.9,105,-25,71,32.4131492591812
ksp,0.0,0.0,10,1.0,109,-14,75.58,27.33398124335796
ksp,0.0,0.0,11,0.0,116,51,93.04,13.356890753923418
ksp,0.0,0.0,11,0.1,112,47,92.56,13.966665854886084
ksp,0.0,0.0,11,0.2,112,54,89.62,12.420999335391492
ksp,0.0,0.0,11,0.3,122,48,90.5,14.58297861570545
ksp,0.0,0.0,11,0.4,124,-11,92.4,18.558237073205692
ksp,0.0,0.0,11,0.5,116,-15,75.46,33.53901778951963
ksp,0.0,0.0,11,0.6,111,-18,66.38,32.62082094588782
ksp,0.0,0.0,11,0.7,119,-12,76.64,22.214869078238234
ksp,0.0,0.0,11,0.8,110,-16,73.36,26.738155874925944
ksp,0.0,0.0,11,0.9,99,-16,69.92,26.052411851214583
ksp,0.0,0.0,11,1.0,106,-11,73.48,30.303391067735003
ksp,0.0,0.0,12,0.0,114,60,88.7,12.244532307465706
ksp,0.0,0.0,12,0.1,119,-2,88.3,17.444079751232135
ksp,0.0,0.0,12,0.2,111,58,89.84,11.728841131404002
ksp,0.0,0.0,12,0.3,111,47,85.96,13.887242714235308
ksp,0.0,0.0,12,0.4,125,-2,88.9,19.37834895349099
ksp,0.0,0.0,12,0.5,105,-11,72.38,30.323352622784213
ksp,0.0,0.0,12,0.6,101,-15,70.88,26.02482331489358
ksp,0.0,0.0,12,0.7,110,-16,66.3,34.37562615385191
ksp,0.0,0.0,12,0.8,102,-11,70.4,32.95822959382351
ksp,0.0,0.0,12,0.9,106,-14,73.4,29.341062679863413
ksp,0.0,0.0,12,1.0,108,-7,67.9,31.21436744023299
ksp,0.0,0.0,13,0.0,113,-12,86.44,18.92537439308315
ksp,0.0,0.0,13,0.1,116,64,89.76,12.471289477214848
ksp,0.0,0.0,13,0.2,110,50,91.88,13.52343393173947
