Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
Knapsack,0.6,UniversalRandom,TwoPoint,SinglePoint,Random,207,113,172.71428571428572,19.440046021851344
Knapsack,0.7,UniversalRandom,TwoPoint,SinglePoint,Random,207,76,166.5475,25.182790948382536
Knapsack,0.8,UniversalRandom,TwoPoint,SinglePoint,Random,207,76,161.80333333333334,27.776283086717335
Knapsack,0.9,UniversalRandom,TwoPoint,SinglePoint,Random,207,-19,156.008,32.53078831181606
Knapsack,1.0,UniversalRandom,TwoPoint,SinglePoint,Random,207,-160,130.02,87.99256296641003
Knapsack,0.0,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,182,195.14,4.4427218884123025
Knapsack,0.1,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,177,193.005,5.58848196322278
Knapsack,0.2,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,148,187.21,10.842714058783212
Knapsack,0.3,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,136,184.3125,11.812437426071817
Knapsack,0.4,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,125,178.32,16.909922855588785
Knapsack,0.5,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,98,171.19666666666666,22.891512790084157
Knapsack,0.6,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,86,163.82714285714286,28.32420329930506
Knapsack,0.7,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,71,157.1775,32.269182185153426
Knapsack,0.8,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,71,152.07111111111112,34.09607326855532
Knapsack,0.9,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,71,148.28,34.579029907001576
Knapsack,1.0,UniversalRandom,TwoPoint,SinglePoint,Elitism,203,-160,123.18454545454546,86.12524228561504
Knapsack,0.0,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,148,73,118.05,15.110619050217899
Knapsack,0.1,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,152,73,117.475,15.007180023618913
Knapsack,0.2,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,73,116.72333333333333,15.045309124254315
Knapsack,0.3,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,69,115.565,15.046819995598733
Knapsack,0.4,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,69,114.304,15.037014584525428
Knapsack,0.5,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,69,113.26333333333334,15.012092695581234
Knapsack,0.6,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,69,111.87571428571428,15.132707527545916
Knapsack,0.7,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,69,110.6025,15.269280677737227
Knapsack,0.8,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,69,109.34666666666666,15.674378461544451
Knapsack,0.9,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,56,107.83,16.118216306306877
Knapsack,1.0,UniversalRandom,TwoPoint,SinglePoint,DeterministCrowding,153,-160,86.07181818181819,70.71103409270782
Knapsack,0.0,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,147,182.43,11.427642368441974
Knapsack,0.1,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,147,181.285,11.069618660388992
Knapsack,0.2,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,138,179.62333333333333,11.661679615751053
Knapsack,0.3,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,138,178.38,12.190246316754962
Knapsack,0.4,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,138,176.682,12.658014325055357
Knapsack,0.5,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,99,174.535,13.651350627560422
Knapsack,0.6,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,99,171.97142857142856,15.075747161010025
Knapsack,0.7,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,99,168.28625,17.801205424934736
Knapsack,0.8,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,99,165.45888888888888,19.080867625224904
Knapsack,0.9,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,82,160.209,24.33461510878059
Knapsack,1.0,UniversalRandom,TwoPoint,SinglePoint,RestrictedTournament,204,-158,133.98545454545456,86.28219232677179
Knapsack,0.0,UniversalRandom,Uniform,SinglePoint,Random,207,183,196.21,5.0036249486010265
