function_id,min_time_sec,max_time_sec,mean_time_sec,median_time_sec,std_time_sec
1,0.27246785163879395,0.2994673252105713,0.2772886514663696,0.2760237455368042,0.005348409805612485
2,0.31667089462280273,0.3212556838989258,0.31853542327880857,0.31870317459106445,0.001177167141090098
3,0.3667001724243164,0.37766385078430176,0.3682400345802307,0.36757516860961914,0.0023013765414571755
4,0.32778501510620117,0.3315768241882324,0.32923866510391236,0.3292282819747925,0.0008946506662106478
5,0.30950355529785156,0.3206040859222412,0.31273441314697265,0.31225693225860596,0.0026406334299685546
6,0.387753963470459,0.3945765495300293,0.3910132169723511,0.3906877040863037,0.0017242432631288454
7,0.5595371723175049,0.5823333263397217,0.562752115726471,0.5611461400985718,0.0047730442163247365
8,0.3960404396057129,0.4070243835449219,0.39763513803482053,0.3970133066177368,0.002311617461662009
9,0.46758484840393066,0.4821784496307373,0.4702346920967102,0.4690985679626465,0.003116416709057637
10,0.5619747638702393,0.5884838104248047,0.5692463159561157,0.5664775371551514,0.006747243036608253
11,1.3574681282043457,1.3826637268066406,1.3657570123672484,1.3662389516830444,0.005869289141025372
